"Data";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Brasil"
"08/2014";36;51;160;4;246;51;105;183;201;684;355;224;1039;265;107;835;3449;647;1259;6470;2263;1377;3111;257;227;895;350;24851
"09/2014";26;35;159;-;268;23;103;189;149;774;471;180;1065;255;160;842;3573;697;1319;6630;2292;1426;2944;270;147;880;296;25173
"10/2014";33;48;133;4;342;49;113;181;150;772;300;178;1101;274;143;729;3751;727;1367;6695;2389;1306;3257;276;192;915;309;25734
"11/2014";19;32;135;5;273;50;105;192;174;704;299;173;1010;288;161;873;3854;714;1263;6169;2348;1304;3108;296;143;913;297;24902
"12/2014";18;32;167;4;336;16;84;179;190;756;225;451;959;223;125;718;3325;676;1052;5716;2023;1114;2705;242;179;838;247;22600
"01/2015";24;32;175;7;359;16;83;105;163;640;246;201;953;243;134;807;3092;513;1026;5523;1931;1076;2826;268;151;757;219;21570
"02/2015";34;35;170;4;278;26;105;154;167;654;255;195;916;267;100;712;3184;563;1013;5739;1913;1120;2555;247;191;792;117;21506
"03/2015";39;44;172;1;376;22;82;198;184;674;312;249;1004;314;110;756;3331;585;1127;6345;2173;1203;2853;244;141;964;296;23799
"04/2015";19;42;201;6;548;32;91;116;186;742;219;228;978;277;154;674;3243;586;1105;6103;2016;1171;2854;248;165;878;265;23147
"05/2015";24;34;170;1;315;52;86;222;147;724;278;245;1074;293;155;739;3197;713;1102;5943;2229;1152;2680;284;209;828;298;23194
"06/2015";28;50;168;-;357;32;106;168;192;880;347;252;1077;263;137;607;3159;627;1207;6440;2179;1347;2826;304;195;816;280;24044
"07/2015";29;52;181;5;311;32;71;200;229;716;409;257;973;247;150;753;3023;694;1238;6453;2353;1431;2895;261;210;818;311;24302
"08/2015";36;42;150;6;324;38;67;218;216;768;392;211;1080;285;147;727;3039;754;1184;6386;2353;1318;3043;271;212;820;314;24401
"09/2015";35;41;162;4;443;35;96;247;180;758;362;218;844;276;141;797;3401;687;1268;6147;2195;1331;2728;264;218;934;255;24067
"10/2015";28;33;162;6;241;51;74;209;204;669;337;233;946;215;150;659;3229;720;1295;6283;2377;1360;2838;257;228;861;290;23955
"11/2015";13;38;150;5;265;44;106;229;204;838;349;165;938;237;113;634;3013;723;1161;6003;2347;1232;2733;212;215;1003;275;23245
"12/2015";21;28;144;3;297;35;109;184;218;621;262;154;953;241;101;585;2965;642;1030;6149;2122;1188;2512;242;209;787;245;22047
"01/2016";11;38;120;2;276;38;69;220;189;683;397;123;933;199;101;686;2740;716;1085;5766;2010;1078;2245;296;202;749;237;21209
"02/2016";24;44;103;4;195;37;127;176;176;686;240;402;873;216;108;504;2927;646;1089;5967;2130;1151;2487;264;200;821;211;21808
"03/2016";21;32;202;7;209;40;83;171;220;787;352;249;927;213;120;707;2976;730;1221;6751;2254;1137;2632;292;297;932;360;23922
"04/2016";24;39;152;3;269;45;87;195;206;742;335;251;913;217;146;701;2901;710;1133;6566;2277;1320;2540;268;238;693;360;23331
"05/2016";28;31;166;8;243;50;68;180;221;818;311;255;961;236;129;706;2824;648;1123;6654;2434;1509;2739;287;240;814;333;24016
"06/2016";28;44;130;7;270;49;62;201;223;753;315;242;863;239;127;669;3287;731;1013;6961;2514;1324;2556;250;200;785;302;24145
"07/2016";20;32;148;6;310;57;107;198;247;774;304;226;1004;231;137;694;2993;801;1128;7373;2596;1212;2948;230;219;683;283;24961
"08/2016";26;35;142;4;208;61;78;187;190;700;322;220;941;288;137;733;2870;751;1176;7258;2552;1391;2748;273;211;847;317;24666
"09/2016";23;41;154;8;266;40;69;219;221;718;208;206;998;263;124;750;2937;721;1082;7307;2481;1212;2205;236;267;773;199;23728
"10/2016";16;45;142;6;496;42;80;153;173;690;291;214;1007;274;99;642;2735;656;1160;7215;2576;1257;3367;244;227;696;265;24768
"11/2016";21;52;108;5;257;48;84;168;202;711;278;206;1019;279;112;623;2844;635;1088;6383;2547;1252;2725;260;216;797;230;23150
"12/2016";19;51;110;4;251;37;84;161;211;678;293;177;987;268;84;631;3017;775;1095;6319;2583;1031;2715;220;203;735;283;23022
"01/2017";10;27;131;3;211;57;102;182;215;609;339;145;1070;240;105;539;2711;587;1173;5714;2287;1230;2648;260;193;658;302;21748
"02/2017";19;40;73;2;261;43;84;137;205;679;276;181;928;321;77;625;2504;570;974;6286;2450;925;1991;244;238;684;353;21170
"03/2017";26;42;112;2;287;28;79;178;217;606;300;198;1045;245;98;667;2805;671;1100;6924;2520;1126;2344;231;222;821;257;23151
